num_lectures,price,days_since_published,content_duration
158,150,1856,17.5
35,20,2152,5.0
30,20,2425,2.0
23,50,2811,3.0
108,50,2479,7.0
192,50,2569,6.0
49,50,2507,1.0
348,200,1934,19.5
12,30,1883,0.5833333333333334
15,20,2627,1.0
7,0,1948,1.0
10,50,2531,1.0
21,25,2083,3.0
5,45,2205,1.0
105,200,1999,12.5
28,45,2646,2.5
8,120,3265,2.5
34,195,2474,2.0
15,20,1751,1.0
19,40,2321,2.5
7,200,2320,1.5
8,25,2142,0.5666666666666667
30,95,1768,3.0
16,100,3125,1.0
15,45,1821,1.0
60,200,1705,5.0
16,20,1781,1.0
24,35,1667,3.5
95,0,3514,4.5
7,0,2626,1.0
18,35,2769,1.0
10,0,2061,0.5666666666666667
48,75,1909,4.5
20,50,2248,1.5
24,0,2775,1.0
5,30,2661,0.55
32,0,1852,2.0
8,20,1897,0.6166666666666667
304,20,2500,15.5
8,0,2201,1.0
12,25,1964,0.7
33,200,3166,2.5
48,30,1963,3.5
24,50,1829,1.0
47,60,2634,13.0
15,35,2875,2.0
38,100,1925,6.0
24,20,2376,2.0
34,200,1746,1.5
29,200,2255,2.0
110,50,2941,7.5
6,50,2138,0.6833333333333333
18,40,2011,2.0
15,50,2310,3.0
15,0,1684,3.0
25,195,2472,1.5
12,0,1810,0.5
11,20,2352,1.0
24,115,2468,2.0
97,45,3277,10.0
36,0,2696,4.5
7,0,1691,0.5833333333333334
14,20,2797,1.5
24,100,1934,2.0
43,75,1670,1.0
41,90,2829,3.5
113,75,2867,10.0
14,45,1957,1.0
24,0,1670,1.5
21,35,2148,1.0
13,20,2600,1.5
8,20,2369,0.6833333333333333
14,50,2487,3.5
40,95,3048,5.5
38,195,2105,5.0
21,30,2088,2.5
39,40,3067,3.0
5,20,2431,1.0
54,40,2086,11.5
21,20,2361,1.0
47,100,1803,3.5
10,20,2167,0.7333333333333333
7,20,1941,1.0
20,0,2671,3.0
6,40,2483,1.5
246,200,2353,32.5
18,95,1961,1.5
49,100,2353,9.0
19,35,2327,2.0
27,0,2207,3.0
9,20,1969,0.7333333333333333
188,200,2048,22.5
69,0,2094,5.0
20,40,2014,1.5
163,50,2152,10.5
48,20,2842,12.5
8,25,1681,2.0
12,20,2061,2.5
9,50,1670,2.0
195,20,3379,18.0
8,0,1876,1.0
20,200,2074,4.0
9,45,1804,1.0
14,20,2787,1.5
16,50,2830,4.0
19,150,1955,2.0
17,20,2273,3.0
8,0,2728,0.5833333333333334
22,50,2204,1.5
53,0,2404,3.0
33,95,2521,2.5
10,0,1676,2.0
10,20,2968,0.6333333333333333
83,100,2046,5.0
17,50,2270,0.6333333333333333
79,50,2376,15.0
56,50,1916,1.5
19,50,2879,3.0
32,20,2243,2.0
62,40,2236,3.5
16,20,2433,1.5
20,30,1949,1.5
86,95,1732,12.0
13,75,1674,2.5
33,50,2814,3.5
8,20,1893,1.0
45,60,2166,1.0
9,20,1815,1.0
13,20,2223,1.0
158,150,1866,30.0
24,85,1887,0.65
24,200,1725,3.0
37,200,1708,6.0
20,20,1797,2.0
17,0,1765,1.5
22,50,2879,4.0
25,25,1961,1.0
18,20,2457,2.0
20,200,2205,2.5
6,20,1712,0.5333333333333333
36,195,2348,3.5
29,195,2101,2.5
9,45,2178,2.0
16,200,1758,1.0
154,20,2287,14.5
4,35,2308,0.55
8,30,1851,2.0
59,95,1712,4.5
15,50,1950,1.5
